scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
20250600000000.0,4621559,1.0,5.0,,42.65789,-73.7537,4.0,1.0,2.0,2.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,0,0,0,70,9.0,0.0,0.0,0,0.0,0,0.0,4.9,4.9,4.9,5.0,5.0,4.8,4.9,,1.0,1.0,0.0,0,0.07
20250600000000.0,19648678,4.0,7.0,,42.65222,-73.76724,2.0,1.0,1.0,1.0,2.0,1125,2.0,3.0,1125,1125,2.8,1125.0,,8,30,60,335,13.5,6.0,0.0,176,15.0,36,3600.0,4.75,4.89,4.87,4.85,4.81,4.83,4.78,,4.0,4.0,0.0,0,2.34
20250600000000.0,29288920,2.0,2.0,,42.64615,-73.75966,2.0,1.0,0.0,1.0,2.0,45,1.0,2.0,1125,1125,1.3,1125.0,,0,0,15,15,13.5,24.0,0.0,15,38.0,144,10800.0,4.51,4.62,4.45,4.81,4.88,4.76,4.64,,2.0,1.0,1.0,0,3.02
20250600000000.0,19648678,4.0,7.0,,42.65222,-73.76724,2.0,1.0,1.0,1.0,2.0,1125,1.0,3.0,1125,1125,2.7,1125.0,,0,0,7,282,13.5,14.0,0.0,123,22.0,84,7980.0,4.73,4.83,4.71,4.82,4.7,4.8,4.72,,4.0,4.0,0.0,0,2.72
20250600000000.0,17766924,1.0,1.0,,42.65559,-73.76506,4.0,1.0,1.0,2.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,0,0,0,128,13.5,29.0,0.0,0,31.0,174,14964.0,4.8,4.86,4.83,4.95,4.93,4.87,4.77,,1.0,1.0,0.0,0,5.76
20250600000000.0,29288920,2.0,2.0,,42.64734,-73.75851,2.0,1.0,1.0,2.0,1.0,60,1.0,1.0,60,60,1.0,60.0,,18,34,47,223,13.5,34.0,2.0,160,42.0,204,10608.0,4.56,4.72,4.51,4.84,4.86,4.77,4.68,,2.0,1.0,1.0,0,3.67
20250600000000.0,5691268,2.0,3.0,,42.66078,-73.80553,1.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,16,36,64,153,13.5,5.0,4.0,153,4.0,255,13770.0,4.82,4.89,4.79,4.93,4.88,4.92,4.91,,2.0,0.0,2.0,0,1.2
20250600000000.0,4259750,8.0,13.0,,42.67567,-73.82438,2.0,1.0,3.0,1.0,1.0,1124,1.0,2.0,1124,1124,1.3,1124.0,,20,37,67,326,13.5,30.0,2.0,168,34.0,180,4740.0,4.96,4.93,4.98,4.99,4.96,4.95,4.87,,8.0,8.0,0.0,0,1.71
20250600000000.0,61700428,2.0,2.0,,42.67583,-73.78297,1.0,1.0,0.0,1.0,1.0,112,1.0,2.0,112,112,1.3,112.0,,30,60,90,365,13.5,0.0,0.0,206,2.0,0,0.0,4.81,4.87,4.37,4.94,4.96,4.52,4.87,,2.0,0.0,2.0,0,2.1
20250600000000.0,69729286,2.0,2.0,,42.65154,-73.76867,1.0,1.0,1.0,1.0,5.0,1125,5.0,5.0,1125,1125,5.0,1125.0,,23,41,70,344,28.0,0.0,0.0,186,1.0,0,0.0,4.82,4.89,4.57,4.82,4.89,4.71,4.75,,2.0,0.0,2.0,0,0.48
